,Title,Published_date,Views,Likes,Comments,Month
142,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20883,487,81,May
143,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,51452,1826,176,May
144,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11114,177,55,May
145,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,106723,3847,190,May
146,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3090,146,115,May
147,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4381,150,74,May
148,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1375790,48712,1999,May
149,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5279,191,42,May
150,What You Need to Know for a Data Science Internship,2020-05-01,18671,1081,61,May
151,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8133,345,54,Apr
152,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14914,460,103,Apr
153,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3011,83,24,Apr
154,5 Tips for Crushing the Work From Home Life,2020-04-20,5303,200,38,Apr
155,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,16856,643,125,Apr
156,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,24043,650,95,Apr
157,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,36771,794,143,Apr
158,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,62084,1706,207,Apr
159,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,66366,1558,261,Apr
160,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,98608,2916,608,Apr
161,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,145883,4078,163,Apr
162,When Data Science Goes Wrong,2020-03-30,1777,105,32,Mar
163,How to ULTRALEARN Data Science,2020-03-27,60455,3772,167,Mar
164,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4283,265,50,Mar
165,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,12058,443,45,Mar
166,The Secret Data Scientists Don't Want You to Know,2020-03-16,10430,1122,107,Mar
167,The 5 Stages of Learning Data Science,2020-03-13,17080,1273,78,Mar
168,Can You Learn Data Science Without a Computer?,2020-03-11,1449,104,14,Mar
169,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,334517,20762,616,Mar
170,The Data Science Projects that Got Me a Job,2020-03-06,39021,1355,41,Mar
171,How to Integrate Data Science into Your Business,2020-03-02,3302,125,18,Mar
172,The Problem with Data Science,2020-02-28,3713,153,21,Feb
173,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1119,46,16,Feb
174,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,108687,2181,97,Feb
175,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,306844,17100,513,Feb
176,Data Science Advice for College Students,2020-02-14,68003,1945,197,Feb
177,Avoid These Data Science Resume Mistakes!,2020-02-10,26804,1190,58,Feb
178,Data Science Explained with ... Cooking?,2020-02-07,4802,292,47,Feb
179,The 4 Types of Sports Analytics Projects,2020-02-03,25889,871,60,Feb
180,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,555,18,13,Jan
181,How I Learned Data Science,2020-01-27,92367,2641,210,Jan
182,What is Sports Analytics Really?,2020-01-20,18790,564,73,Jan
183,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,106895,3035,585,Jan
184,How To Learn Programming for Data Science [3 Steps],2020-01-13,29350,1953,96,Jan
185,Data Science Fundamentals: SQL Queries,2020-01-10,5930,206,34,Jan
186,Questions You Should Ask Your Data Science Interviewers,2020-01-06,2944,147,14,Jan
187,The 9 Books That Changed My Perspective in 2019,2020-01-03,3302,180,25,Jan
188,The Data Science Interview: What to Expect,2019-12-30,8010,366,32,Dec
